bibtex_authors;author;year;title;bibtex_key;mentioned_group;mentioned_factor;mentioned_metric;static_and_demand_oriented;core_aspect;arg_code_1;arg_code_2;arg_code_3
Tang, Zheci and Guo, Chunlin and Hou, Pengxin and Fan, Yubo;Tang et al.;2013;Optimal Siting of Electric Vehicle Charging Stations Based on Voronoi Diagram and FAHP Method;Tang.2013;;people life;;0;;;;
Tang, Zheci and Guo, Chunlin and Hou, Pengxin and Fan, Yubo;Tang et al.;2013;Optimal Siting of Electric Vehicle Charging Stations Based on Voronoi Diagram and FAHP Method;Tang.2013;transportation;lane crossings;;1;Surrounding Street Network;QuRe;;
Tang, Zheci and Guo, Chunlin and Hou, Pengxin and Fan, Yubo;Tang et al.;2013;Optimal Siting of Electric Vehicle Charging Stations Based on Voronoi Diagram and FAHP Method;Tang.2013;;road conditions;;1;Surrounding Street Network;QuRe;QuAt;
Tang, Zheci and Guo, Chunlin and Hou, Pengxin and Fan, Yubo;Tang et al.;2013;Optimal Siting of Electric Vehicle Charging Stations Based on Voronoi Diagram and FAHP Method;Tang.2013;;main roads;;1;Surrounding Street Network;QuRe;Ac;
Tang, Zheci and Guo, Chunlin and Hou, Pengxin and Fan, Yubo;Tang et al.;2013;Optimal Siting of Electric Vehicle Charging Stations Based on Voronoi Diagram and FAHP Method;Tang.2013;economy;total cost of construction investment;;0;;;;
Tang, Zheci and Guo, Chunlin and Hou, Pengxin and Fan, Yubo;Tang et al.;2013;Optimal Siting of Electric Vehicle Charging Stations Based on Voronoi Diagram and FAHP Method;Tang.2013;;cost of operation and maintenance;;0;;;;
Tang, Zheci and Guo, Chunlin and Hou, Pengxin and Fan, Yubo;Tang et al.;2013;Optimal Siting of Electric Vehicle Charging Stations Based on Voronoi Diagram and FAHP Method;Tang.2013;;cost of wear and tear;;0;;;;
Viswanathan, Vaisagh and Zehe, Daniel and Ivanchev, Jordan and Pelzer, Dominik and Knoll, Alois and Aydt, Heiko;Viswanathan et al.;2016;Simulation-assisted exploration of charging infrastructure requirements for electric vehicles in urban environments;Viswanathan.2016;;trip origin of users with high energy consumption ;;0;;Ac;AcHo;
"Wagner, Sebastian and G{\""o}tzinger, Markus and Neumann, Dirk";Wagner et al.;2013;Optimal location of charging stations in smart cities: A points of interest based approach;Wagner.2013;;presence of food, museum and health POI;;1;POI;AcPOI;QuAt;
Wirges, Johannes;Wirges;2016;Planning the Charging Infrastructure for Electric Vehicles in Cities and Regions;Wirges.2016;public charging;shopping;area of surface;1;POI;AcPOI;;
Wirges, Johannes;Wirges;2016;Planning the Charging Infrastructure for Electric Vehicles in Cities and Regions;Wirges.2016;;sports and culture;number of visitors;1;POI;AcPOI;;
Wirges, Johannes;Wirges;2016;Planning the Charging Infrastructure for Electric Vehicles in Cities and Regions;Wirges.2016;;big car parks;number of parking places;1;Parking Situation;QuAt;Ac;
Wirges, Johannes;Wirges;2016;Planning the Charging Infrastructure for Electric Vehicles in Cities and Regions;Wirges.2016;;park and ride;number of parking places;1;Connectivity to public transport;AcPT;;
Wirges, Johannes;Wirges;2016;Planning the Charging Infrastructure for Electric Vehicles in Cities and Regions;Wirges.2016;residential charging;general population;number of cars;1;Residential Population;AcHo;;
Wirges, Johannes;Wirges;2016;Planning the Charging Infrastructure for Electric Vehicles in Cities and Regions;Wirges.2016;;early adopters;number of high income households;1;Residential Population;AcHo;;
Wirges, Johannes;Wirges;2016;Planning the Charging Infrastructure for Electric Vehicles in Cities and Regions;Wirges.2016;;early adopters;number of households with two cars;1;Residential Population;AcHo;;
Wirges, Johannes;Wirges;2016;Planning the Charging Infrastructure for Electric Vehicles in Cities and Regions;Wirges.2016;;street parkers;number of households without garages;1;Residential Population;AcHo;;
Wirges, Johannes;Wirges;2016;Planning the Charging Infrastructure for Electric Vehicles in Cities and Regions;Wirges.2016;work charging;general working places;number of employees;1;Working Population;AcWo;;
Wirges, Johannes;Wirges;2016;Planning the Charging Infrastructure for Electric Vehicles in Cities and Regions;Wirges.2016;;early adopter working places;number of employees;1;Working Population;AcWo;;
Wolbertus, Rick and Kroesen, Maarten and {van den Hoed}, Robert and Chorus, Caspar;Wolbertus et al.;2018;Fully charged: An empirical study into the factors that influence connection times at EV-charging stations;Wolbertus.2018;;parking pressure;number of vehicles per sqkm;1;Residential Population;QuAt;AcHo;
Wu, Yunna and Yang, Meng and Zhang, Haobo and Chen, Kaifeng and Wang, Yang;Wu et al.;2016;Optimal Site Selection of Electric Vehicle Charging Stations Based on a Cloud Model and the PROMETHEE Method;Wu.2016;economic;;;0;;;;
Wu, Yunna and Yang, Meng and Zhang, Haobo and Chen, Kaifeng and Wang, Yang;Wu et al.;2016;Optimal Site Selection of Electric Vehicle Charging Stations Based on a Cloud Model and the PROMETHEE Method;Wu.2016;engineering feasibility;;;0;;;;
Wu, Yunna and Yang, Meng and Zhang, Haobo and Chen, Kaifeng and Wang, Yang;Wu et al.;2016;Optimal Site Selection of Electric Vehicle Charging Stations Based on a Cloud Model and the PROMETHEE Method;Wu.2016;service availability;convenience of transportation;;1;Surrounding Street Network;QuRe;QuAt;
Wu, Yunna and Yang, Meng and Zhang, Haobo and Chen, Kaifeng and Wang, Yang;Wu et al.;2016;Optimal Site Selection of Electric Vehicle Charging Stations Based on a Cloud Model and the PROMETHEE Method;Wu.2016;;service capability;;0;;QuRed;;
Wu, Yunna and Yang, Meng and Zhang, Haobo and Chen, Kaifeng and Wang, Yang;Wu et al.;2016;Optimal Site Selection of Electric Vehicle Charging Stations Based on a Cloud Model and the PROMETHEE Method;Wu.2016;;service radius;;1;Other CIS;AvCo;;
Wu, Yunna and Yang, Meng and Zhang, Haobo and Chen, Kaifeng and Wang, Yang;Wu et al.;2016;Optimal Site Selection of Electric Vehicle Charging Stations Based on a Cloud Model and the PROMETHEE Method;Wu.2016;social factors;possibility of capacity expansion in the future;;0;;;;
Wu, Yunna and Yang, Meng and Zhang, Haobo and Chen, Kaifeng and Wang, Yang;Wu et al.;2016;Optimal Site Selection of Electric Vehicle Charging Stations Based on a Cloud Model and the PROMETHEE Method;Wu.2016;;attitude of local residents;;0;;;;
Wu, Yunna and Yang, Meng and Zhang, Haobo and Chen, Kaifeng and Wang, Yang;Wu et al.;2016;Optimal Site Selection of Electric Vehicle Charging Stations Based on a Cloud Model and the PROMETHEE Method;Wu.2016;;local government support;;0;;;;
Wu, Yunna and Yang, Meng and Zhang, Haobo and Chen, Kaifeng and Wang, Yang;Wu et al.;2016;Optimal Site Selection of Electric Vehicle Charging Stations Based on a Cloud Model and the PROMETHEE Method;Wu.2016;environmental factors;ecological environment influence;;0;;;;
Wu, Yunna and Yang, Meng and Zhang, Haobo and Chen, Kaifeng and Wang, Yang;Wu et al.;2016;Optimal Site Selection of Electric Vehicle Charging Stations Based on a Cloud Model and the PROMETHEE Method;Wu.2016;;availability of space for disposal of waste;;0;;;;
Wu, Yunna and Yang, Meng and Zhang, Haobo and Chen, Kaifeng and Wang, Yang;Wu et al.;2016;Optimal Site Selection of Electric Vehicle Charging Stations Based on a Cloud Model and the PROMETHEE Method;Wu.2016;;energy saving benefit;;0;;;;
Wu, Yunna and Yang, Meng and Zhang, Haobo and Chen, Kaifeng and Wang, Yang;Wu et al.;2016;Optimal Site Selection of Electric Vehicle Charging Stations Based on a Cloud Model and the PROMETHEE Method;Wu.2016;;fine particals emisson reduction;;0;;;;
Wu, Yunna and Yang, Meng and Zhang, Haobo and Chen, Kaifeng and Wang, Yang;Wu et al.;2016;Optimal Site Selection of Electric Vehicle Charging Stations Based on a Cloud Model and the PROMETHEE Method;Wu.2016;;geographical environment;;0;;;;
Wu, Yunna and Yang, Meng and Zhang, Haobo and Chen, Kaifeng and Wang, Yang;Wu et al.;2016;Optimal Site Selection of Electric Vehicle Charging Stations Based on a Cloud Model and the PROMETHEE Method;Wu.2016;;topography;;0;;;;
Wu, Yunna and Yang, Meng and Zhang, Haobo and Chen, Kaifeng and Wang, Yang;Wu et al.;2016;Optimal Site Selection of Electric Vehicle Charging Stations Based on a Cloud Model and the PROMETHEE Method;Wu.2016;;geology and soil type;;0;;;;
Wu, Yunna and Yang, Meng and Zhang, Haobo and Chen, Kaifeng and Wang, Yang;Wu et al.;2016;Optimal Site Selection of Electric Vehicle Charging Stations Based on a Cloud Model and the PROMETHEE Method;Wu.2016;land factors;;;1;Land Use;Ac;QuAt;
Wu, Han and Niu, Dongxiao;Wu, Niu;2017;Study on Influence Factors of Electric Vehicles Charging Station Location Based on ISM and FMICMAC;Wu.2017b;charging demand;area attribute;;1;Land Use;Ac;QuAt;
Wu, Han and Niu, Dongxiao;Wu, Niu;2017;Study on Influence Factors of Electric Vehicles Charging Station Location Based on ISM and FMICMAC;Wu.2017b;;purchase intention;;0;;Ac;;
Wu, Han and Niu, Dongxiao;Wu, Niu;2017;Study on Influence Factors of Electric Vehicles Charging Station Location Based on ISM and FMICMAC;Wu.2017b;;sales of BEV;;0;;AcNiHo;;
Wu, Han and Niu, Dongxiao;Wu, Niu;2017;Study on Influence Factors of Electric Vehicles Charging Station Location Based on ISM and FMICMAC;Wu.2017b;operating economy;construction cost;;0;;;;
Wu, Han and Niu, Dongxiao;Wu, Niu;2017;Study on Influence Factors of Electric Vehicles Charging Station Location Based on ISM and FMICMAC;Wu.2017b;;annual operation and maintenance cost;;0;;;;
Wu, Han and Niu, Dongxiao;Wu, Niu;2017;Study on Influence Factors of Electric Vehicles Charging Station Location Based on ISM and FMICMAC;Wu.2017b;traffic convenience;lane situation;;0;;QuAt;;
Wu, Han and Niu, Dongxiao;Wu, Niu;2017;Study on Influence Factors of Electric Vehicles Charging Station Location Based on ISM and FMICMAC;Wu.2017b;;traffic flow;;1;Traffic Flow;Ac;QuAt;
Wu, Han and Niu, Dongxiao;Wu, Niu;2017;Study on Influence Factors of Electric Vehicles Charging Station Location Based on ISM and FMICMAC;Wu.2017b;;pit stop rate;;0;;Ac;;
Wu, Han and Niu, Dongxiao;Wu, Niu;2017;Study on Influence Factors of Electric Vehicles Charging Station Location Based on ISM and FMICMAC;Wu.2017b;power grid security;impacts on the transmission and distribution network;;0;;;;
Wu, Han and Niu, Dongxiao;Wu, Niu;2017;Study on Influence Factors of Electric Vehicles Charging Station Location Based on ISM and FMICMAC;Wu.2017b;;harmonic pollution to the grid;;0;;;;
Wu, Han and Niu, Dongxiao;Wu, Niu;2017;Study on Influence Factors of Electric Vehicles Charging Station Location Based on ISM and FMICMAC;Wu.2017b;construction feasibility;geographical environment;;0;;;;
Wu, Han and Niu, Dongxiao;Wu, Niu;2017;Study on Influence Factors of Electric Vehicles Charging Station Location Based on ISM and FMICMAC;Wu.2017b;;social environment;;0;;;;
Zhang, Hongcai and Hu, Zechun and Xu, Zhiwei and Song, Yonghua;Zhang et al.;2016;An Integrated Planning Framework for Different Types of PEV Charging Facilities in Urban Area;Zhang.2016;;private charging spot possession rate;;1;Residential Population;AcHo;;
Zhang, Hongcai and Hu, Zechun and Xu, Zhiwei and Song, Yonghua;Zhang et al.;2016;An Integrated Planning Framework for Different Types of PEV Charging Facilities in Urban Area;Zhang.2016;;investment costs;;0;;;;
Zhang, Hongcai and Hu, Zechun and Xu, Zhiwei and Song, Yonghua;Zhang et al.;2016;An Integrated Planning Framework for Different Types of PEV Charging Facilities in Urban Area;Zhang.2016;;operation and maintenance costs;;0;;;;
Zhang, Hongcai and Hu, Zechun and Xu, Zhiwei and Song, Yonghua;Zhang et al.;2016;An Integrated Planning Framework for Different Types of PEV Charging Facilities in Urban Area;Zhang.2016;;electricity costs;;0;;;;
Zhang, Hongcai and Hu, Zechun and Xu, Zhiwei and Song, Yonghua;Zhang et al.;2016;An Integrated Planning Framework for Different Types of PEV Charging Facilities in Urban Area;Zhang.2016;;time costs (waiting & detour);;0;;QuAt;;
Zhang, Hongcai and Hu, Zechun and Xu, Zhiwei and Song, Yonghua;Zhang et al.;2016;An Integrated Planning Framework for Different Types of PEV Charging Facilities in Urban Area;Zhang.2016;;ambient temperature;;0;;;;
Zhang, Hongcai and Hu, Zechun and Xu, Zhiwei and Song, Yonghua;Zhang et al.;2016;An Integrated Planning Framework for Different Types of PEV Charging Facilities in Urban Area;Zhang.2016;;public charging spot service level;;0; ;QuAt;;
Zhang, Hongcai and Hu, Zechun and Xu, Zhiwei and Song, Yonghua;Zhang et al.;2019;An Integrated Planning Framework for Different Types of PEV Charging Facilities in Urban Area;Zhang.2016;charging station's own factors;;;0;;;;
Zhang, Hongcai and Hu, Zechun and Xu, Zhiwei and Song, Yonghua;Zhang et al.;2019;An Integrated Planning Framework for Different Types of PEV Charging Facilities in Urban Area;Zhang.2016;charging station-supplier factors;;;0;;;;
Zhang, Hongcai and Hu, Zechun and Xu, Zhiwei and Song, Yonghua;Zhang et al.;2019;An Integrated Planning Framework for Different Types of PEV Charging Facilities in Urban Area;Zhang.2016;charging station-consumer factors;user travel and charging behaviors;;0;;Ac;;
Zhang, Hongcai and Hu, Zechun and Xu, Zhiwei and Song, Yonghua;Zhang et al.;2019;An Integrated Planning Framework for Different Types of PEV Charging Facilities in Urban Area;Zhang.2016;;user charging demand;;0;;;;
Zhang, Hongcai and Hu, Zechun and Xu, Zhiwei and Song, Yonghua;Zhang et al.;2019;An Integrated Planning Framework for Different Types of PEV Charging Facilities in Urban Area;Zhang.2016;;user travel mileage;;0;;;;
Zhang, Hongcai and Hu, Zechun and Xu, Zhiwei and Song, Yonghua;Zhang et al.;2019;An Integrated Planning Framework for Different Types of PEV Charging Facilities in Urban Area;Zhang.2016;;starting point ;;0;;;;
Zhang, Hongcai and Hu, Zechun and Xu, Zhiwei and Song, Yonghua;Zhang et al.;2019;An Integrated Planning Framework for Different Types of PEV Charging Facilities in Urban Area;Zhang.2016;;road traffic;;0;;Ac;QuAt;
Zhang, Hongcai and Hu, Zechun and Xu, Zhiwei and Song, Yonghua;Zhang et al.;2019;An Integrated Planning Framework for Different Types of PEV Charging Facilities in Urban Area;Zhang.2016;;user behavior;;0;;;;
Zhang, Hongcai and Hu, Zechun and Xu, Zhiwei and Song, Yonghua;Zhang et al.;2019;An Integrated Planning Framework for Different Types of PEV Charging Facilities in Urban Area;Zhang.2016;;willingness to detour;;0;;;;
Zhao, Huiru and Li, Nana;Zhao, Li;2016;Optimal Siting of Charging Stations for Electric Vehicles Based on Fuzzy Delphi and Hybrid Multi-Criteria Decision Making Approaches from an Extended Sustainability Perspective;Zhao.2016;economy ;;;0;;;;
Zhao, Huiru and Li, Nana;Zhao, Li;2016;Optimal Siting of Charging Stations for Electric Vehicles Based on Fuzzy Delphi and Hybrid Multi-Criteria Decision Making Approaches from an Extended Sustainability Perspective;Zhao.2016;society;BEV ownership in service area;;1;Residential Population;AcHo;;
Zhao, Huiru and Li, Nana;Zhao, Li;2016;Optimal Siting of Charging Stations for Electric Vehicles Based on Fuzzy Delphi and Hybrid Multi-Criteria Decision Making Approaches from an Extended Sustainability Perspective;Zhao.2016;;service area population;;1;Residential Population;AcHo;;
Zhao, Huiru and Li, Nana;Zhao, Li;2016;Optimal Siting of Charging Stations for Electric Vehicles Based on Fuzzy Delphi and Hybrid Multi-Criteria Decision Making Approaches from an Extended Sustainability Perspective;Zhao.2016;;service radius;;1;Coverage;AvCo;;
Zhao, Huiru and Li, Nana;Zhao, Li;2016;Optimal Siting of Charging Stations for Electric Vehicles Based on Fuzzy Delphi and Hybrid Multi-Criteria Decision Making Approaches from an Extended Sustainability Perspective;Zhao.2016;;service capacity;;0;;QuRed;;
Zhao, Huiru and Li, Nana;Zhao, Li;2016;Optimal Siting of Charging Stations for Electric Vehicles Based on Fuzzy Delphi and Hybrid Multi-Criteria Decision Making Approaches from an Extended Sustainability Perspective;Zhao.2016;;residents' professional habit;;1;Residential Population;AcHo;;
Zhao, Huiru and Li, Nana;Zhao, Li;2016;Optimal Siting of Charging Stations for Electric Vehicles Based on Fuzzy Delphi and Hybrid Multi-Criteria Decision Making Approaches from an Extended Sustainability Perspective;Zhao.2016;;residents' consumption habits;;0;;Ac;;
Zhao, Huiru and Li, Nana;Zhao, Li;2016;Optimal Siting of Charging Stations for Electric Vehicles Based on Fuzzy Delphi and Hybrid Multi-Criteria Decision Making Approaches from an Extended Sustainability Perspective;Zhao.2016;;traffic convenience;;1;Surrounding Street Network;QuRe;QuAt;
Zhao, Huiru and Li, Nana;Zhao, Li;2016;Optimal Siting of Charging Stations for Electric Vehicles Based on Fuzzy Delphi and Hybrid Multi-Criteria Decision Making Approaches from an Extended Sustainability Perspective;Zhao.2016;;impact on living level of residents;;0;;;;
Zhao, Huiru and Li, Nana;Zhao, Li;2016;Optimal Siting of Charging Stations for Electric Vehicles Based on Fuzzy Delphi and Hybrid Multi-Criteria Decision Making Approaches from an Extended Sustainability Perspective;Zhao.2016;;coordinate level of charging infrastructure with urban development planning;;0;;;;
Zhao, Huiru and Li, Nana;Zhao, Li;2016;Optimal Siting of Charging Stations for Electric Vehicles Based on Fuzzy Delphi and Hybrid Multi-Criteria Decision Making Approaches from an Extended Sustainability Perspective;Zhao.2016;environment;;;0;;;;
Zhao, Huiru and Li, Nana;Zhao, Li;2016;Optimal Siting of Charging Stations for Electric Vehicles Based on Fuzzy Delphi and Hybrid Multi-Criteria Decision Making Approaches from an Extended Sustainability Perspective;Zhao.2016;technology;;;0;;;;
